Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
000118;13.12.2019;13:53:33;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;4;87;93;8400;3000;4036;4037;1;13029;22.54;33.64;35,8;BCS1388054;7;1
000118;13.12.2019;13:55:00;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;4;88;93;8400;3000;4115;4078;1;12784;22.94;35.44;36,1;BCS1388054;7;1
000118;13.12.2019;13:55:04;Charge to 10% ;28.11.2017;FEY;;LION;49;14500;7200;128;4;88;93;8400;3000;4114;4079;1;13028;22.94;35.44;36,1;BCS1388054;7;1
000118;13.12.2019;13:55:27;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;4;88;93;8400;3000;4044;4047;1;13364;23.04;34.44;36,1;BCS1388054;7;1
000118;13.12.2019;13:55:29;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;4;88;93;8400;3000;3987;4019;1;13437;23.04;34.44;36,1;BCS1388054;7;1
000118;13.12.2019;13:55:29;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;4;88;93;8400;3000;3987;4019;1;13437;23.04;34.44;36,1;BCS1388054;7;1
000118;13.12.2019;13:55:33;Normalcharge  ;28.11.2017;FEY;;LION;49;14500;7200;192;4;88;93;8400;3000;3987;4019;1;13338;23.04;34.54;36,1;BCS1388054;7;1
000118;13.12.2019;13:55:39;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;4;88;93;8400;3000;4040;4041;1;13003;23.04;34.44;36,1;BCS1388054;7;1
000118;13.12.2019;13:55:39;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;4;88;93;8400;3000;4040;4041;1;13003;23.04;34.44;36,1;BCS1388054;7;1
000118;13.12.2019;13:56:34;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;4;88;93;8400;3000;4114;4080;1;12768;23.34;35.24;36,2;BCS1388054;7;1
000118;13.12.2019;13:56:38;Charge to 95% ;28.11.2017;FEY;;LION;49;14500;7200;128;4;88;93;8400;3000;4114;4080;1;13029;23.34;35.24;36,2;BCS1388054;7;1
000118;13.12.2019;13:56:40;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;4;88;93;8400;3000;4114;4080;1;13029;23.34;35.24;36,2;BCS1388054;7;1
000118;13.12.2019;13:56:48;Charge to 90% ;28.11.2017;FEY;;LION;49;14500;7200;128;4;88;93;8400;3000;4047;4050;1;13029;23.34;34.84;36,2;BCS1388054;7;1
000118;13.12.2019;15:42:54;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;4;86;90;8400;3000;4009;4010;1;12979;28.94;31.34;34,5;BCS1388054;7;1
000118;13.12.2019;15:42:59;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;4;86;90;8400;3000;4009;4010;1;13031;28.94;31.44;34,4;BCS1388054;7;1
000118;13.12.2019;21:04:43;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;224;4;95;100;8400;;4153;4153;1;13032;26.74;28.84;31,7;BCS1388054;7;1
