Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
007650;13.12.2019;13:53:33;Fastcharge    ;19.10.2017;FEY;;LION;49;14500;7200;192;7;81;86;8400;3000;3989;3989;1;13030;22.84;33.14;35,8;BCS1388054;7;4
007650;13.12.2019;13:55:00;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;128;7;81;86;8400;3000;4084;4039;1;12760;23.24;34.94;36,1;BCS1388054;7;4
007650;13.12.2019;13:55:04;Charge to 10% ;19.10.2017;FEY;;LION;49;14500;7200;128;7;81;86;8400;3000;4084;4039;1;13030;23.34;35.04;36,1;BCS1388054;7;4
007650;13.12.2019;13:55:27;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;128;7;81;86;8400;3000;4000;4000;1;13374;23.44;33.64;36,1;BCS1388054;7;4
007650;13.12.2019;13:55:29;Fastcharge    ;19.10.2017;FEY;;LION;49;14500;7200;192;7;81;86;8400;3000;3954;3978;1;13449;23.44;33.64;36,1;BCS1388054;7;4
007650;13.12.2019;13:55:29;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;192;7;81;86;8400;3000;3954;3978;1;13449;23.44;33.64;36,1;BCS1388054;7;4
007650;13.12.2019;13:55:33;Normalcharge  ;19.10.2017;FEY;;LION;49;14500;7200;192;7;81;86;8400;3000;3954;3978;1;13340;23.44;33.64;36,1;BCS1388054;7;4
007650;13.12.2019;13:55:39;Fastcharge    ;19.10.2017;FEY;;LION;49;14500;7200;192;7;81;86;8400;3000;3996;3995;1;13019;23.44;33.64;36,1;BCS1388054;7;4
007650;13.12.2019;13:55:39;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;192;7;81;86;8400;3000;3996;3995;1;13019;23.44;33.64;36,1;BCS1388054;7;4
007650;13.12.2019;13:56:34;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;128;7;81;86;8400;3000;4081;4040;1;12744;23.74;34.54;36,2;BCS1388054;7;4
007650;13.12.2019;13:56:38;Charge to 95% ;19.10.2017;FEY;;LION;49;14500;7200;128;7;81;86;8400;3000;4081;4040;1;13030;23.74;34.54;36,2;BCS1388054;7;4
007650;13.12.2019;13:56:40;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;128;7;81;86;8400;3000;4081;4040;1;13030;23.74;34.54;36,2;BCS1388054;7;4
007650;13.12.2019;13:56:48;Charge to 90% ;19.10.2017;FEY;;LION;49;14500;7200;128;7;81;86;8400;3000;4005;4007;1;13031;23.74;34.14;36,2;BCS1388054;7;4
007650;13.12.2019;15:42:54;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;192;7;85;90;8400;3000;4039;4038;1;12974;29.54;30.54;34,5;BCS1388054;7;4
007650;13.12.2019;15:42:59;Fastcharge    ;19.10.2017;FEY;;LION;49;14500;7200;192;7;85;90;8400;3000;4039;4038;1;13031;29.54;30.54;34,4;BCS1388054;7;4
007650;13.12.2019;21:04:43;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;224;7;95;100;8400;;4151;4150;1;13032;27.54;27.74;31,7;BCS1388054;7;4
