Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
007594;13.12.2019;13:53:33;Fastcharge    ;23.10.2017;FEY;;LION;49;14500;7200;192;10;75;80;8400;3000;3933;3934;1;13022;22.74;34.44;35,8;BCS1388054;7;10
007594;13.12.2019;13:55:00;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;128;10;75;81;8400;3000;4046;3987;1;12733;23.04;36.34;36,1;BCS1388054;7;10
007594;13.12.2019;13:55:04;Charge to 10% ;23.10.2017;FEY;;LION;49;14500;7200;128;10;75;81;8400;3000;4047;3987;1;13022;23.04;36.34;36,1;BCS1388054;7;10
007594;13.12.2019;13:55:27;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;128;10;75;81;8400;3000;3943;3945;1;13389;23.14;34.64;36,1;BCS1388054;7;10
007594;13.12.2019;13:55:29;Fastcharge    ;23.10.2017;FEY;;LION;49;14500;7200;128;10;75;81;8400;3000;3943;3944;1;13403;23.24;34.54;36,1;BCS1388054;7;10
007594;13.12.2019;13:55:29;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;128;10;75;81;8400;3000;3943;3944;1;13403;23.24;34.54;36,1;BCS1388054;7;10
007594;13.12.2019;13:55:33;Normalcharge  ;23.10.2017;FEY;;LION;49;14500;7200;128;10;75;81;8400;3000;3943;3944;1;13030;23.24;34.44;36,1;BCS1388054;7;10
007594;13.12.2019;13:55:39;Fastcharge    ;23.10.2017;FEY;;LION;49;14500;7200;128;10;75;81;8400;3000;3941;3943;1;13004;23.24;34.24;36,1;BCS1388054;7;10
007594;13.12.2019;13:55:39;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;128;10;75;81;8400;3000;3941;3943;1;13004;23.24;34.24;36,1;BCS1388054;7;10
007594;13.12.2019;13:56:34;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;128;10;75;81;8400;3000;4041;3985;1;12713;23.44;35.64;36,2;BCS1388054;7;10
007594;13.12.2019;13:56:38;Charge to 95% ;23.10.2017;FEY;;LION;49;14500;7200;128;10;75;81;8400;3000;4051;3988;1;13022;23.44;35.74;36,2;BCS1388054;7;10
007594;13.12.2019;13:56:40;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;128;10;75;81;8400;3000;4051;3988;1;13022;23.44;35.74;36,2;BCS1388054;7;10
007594;13.12.2019;13:56:48;Charge to 90% ;23.10.2017;FEY;;LION;49;14500;7200;128;10;75;81;8400;3000;3948;3951;1;13022;23.54;35.14;36,2;BCS1388054;7;10
007594;13.12.2019;15:42:54;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;192;10;84;90;8400;3000;4029;4029;1;12958;29.64;31.54;34,5;BCS1388054;7;10
007594;13.12.2019;15:42:59;Fastcharge    ;23.10.2017;FEY;;LION;49;14500;7200;192;10;84;90;8400;3000;4029;4029;1;13022;29.64;31.44;34,4;BCS1388054;7;10
007594;13.12.2019;21:04:43;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;224;10;94;100;8400;;4153;4152;1;13024;27.54;28.24;31,7;BCS1388054;7;10
