Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
007640;13.12.2019;13:53:33;Fastcharge    ;19.10.2017;FEY;;LION;49;14500;7200;192;8;87;93;8400;3000;4049;4050;1;13010;22.44;34.14;35,8;BCS1388054;7;9
007640;13.12.2019;13:55:00;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;128;8;87;93;8400;3000;4121;4091;1;12745;22.84;34.84;36,1;BCS1388054;7;9
007640;13.12.2019;13:55:04;Charge to 10% ;19.10.2017;FEY;;LION;49;14500;7200;128;8;87;93;8400;3000;4124;4093;1;13009;22.84;34.84;36,1;BCS1388054;7;9
007640;13.12.2019;13:55:27;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;128;8;87;93;8400;3000;4058;4059;1;13381;22.94;33.64;36,1;BCS1388054;7;9
007640;13.12.2019;13:55:29;Fastcharge    ;19.10.2017;FEY;;LION;49;14500;7200;192;8;87;93;8400;3000;4034;4047;1;13406;22.94;33.64;36,1;BCS1388054;7;9
007640;13.12.2019;13:55:29;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;192;8;87;93;8400;3000;4034;4047;1;13406;22.94;33.64;36,1;BCS1388054;7;9
007640;13.12.2019;13:55:33;Normalcharge  ;19.10.2017;FEY;;LION;49;14500;7200;192;8;87;93;8400;3000;4034;4047;1;13018;22.94;33.64;36,1;BCS1388054;7;9
007640;13.12.2019;13:55:39;Fastcharge    ;19.10.2017;FEY;;LION;49;14500;7200;192;8;87;93;8400;3000;4053;4054;1;12993;22.94;33.74;36,1;BCS1388054;7;9
007640;13.12.2019;13:55:39;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;192;8;87;93;8400;3000;4053;4054;1;12993;22.94;33.74;36,1;BCS1388054;7;9
007640;13.12.2019;13:56:34;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;128;8;87;93;8400;3000;4120;4091;1;12725;23.14;34.34;36,2;BCS1388054;7;9
007640;13.12.2019;13:56:38;Charge to 95% ;19.10.2017;FEY;;LION;49;14500;7200;128;8;87;93;8400;3000;4123;4093;1;13009;23.14;34.34;36,2;BCS1388054;7;9
007640;13.12.2019;13:56:40;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;128;8;87;93;8400;3000;4062;4066;1;13010;23.24;34.24;36,2;BCS1388054;7;9
007640;13.12.2019;13:56:48;Charge to 90% ;19.10.2017;FEY;;LION;49;14500;7200;128;8;87;93;8400;3000;4062;4066;1;13010;23.24;33.94;36,2;BCS1388054;7;9
007640;13.12.2019;15:42:54;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;192;8;85;90;8400;3000;4022;4023;1;12959;29.34;31.04;34,5;BCS1388054;7;9
007640;13.12.2019;15:42:59;Fastcharge    ;19.10.2017;FEY;;LION;49;14500;7200;192;8;85;90;8400;3000;4022;4023;1;13012;29.34;30.94;34,4;BCS1388054;7;9
007640;13.12.2019;21:04:43;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;224;8;95;100;8400;;4152;4152;1;13014;27.44;28.04;31,7;BCS1388054;7;9
