Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
001016;13.12.2019;13:53:33;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;24;94;99;8400;3000;4110;4110;1;13036;22.04;35.34;35,8;BCS1388054;7;14
001016;13.12.2019;13:55:00;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;24;94;99;8400;3000;4160;4143;1;12777;22.44;36.14;36,1;BCS1388054;7;14
001016;13.12.2019;13:55:04;Charge to 10% ;28.11.2017;FEY;;LION;49;14500;7200;128;24;94;99;8400;3000;4159;4143;1;13034;22.44;36.14;36,1;BCS1388054;7;14
001016;13.12.2019;13:55:27;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;24;94;99;8400;3000;4116;4119;1;13438;22.64;35.24;36,1;BCS1388054;7;14
001016;13.12.2019;13:55:29;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;24;94;99;8400;3000;4063;4089;1;13355;22.64;35.24;36,1;BCS1388054;7;14
001016;13.12.2019;13:55:29;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;24;94;99;8400;3000;4063;4089;1;13355;22.64;35.24;36,1;BCS1388054;7;14
001016;13.12.2019;13:55:33;Normalcharge  ;28.11.2017;FEY;;LION;49;14500;7200;192;24;94;99;8400;3000;4063;4089;1;13049;22.64;35.34;36,1;BCS1388054;7;14
001016;13.12.2019;13:55:39;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;24;94;99;8400;3000;4112;4112;1;13014;22.64;35.24;36,1;BCS1388054;7;14
001016;13.12.2019;13:55:39;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;24;94;99;8400;3000;4112;4112;1;13014;22.64;35.24;36,1;BCS1388054;7;14
001016;13.12.2019;13:56:34;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;24;94;99;8400;3000;4160;4143;1;12756;22.84;35.64;36,2;BCS1388054;7;14
001016;13.12.2019;13:56:38;Charge to 95% ;28.11.2017;FEY;;LION;49;14500;7200;128;24;94;99;8400;3000;4155;4141;1;13036;22.84;35.64;36,2;BCS1388054;7;14
001016;13.12.2019;13:56:40;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;24;94;99;8400;3000;4155;4141;1;13036;22.84;35.64;36,2;BCS1388054;7;14
001016;13.12.2019;13:56:48;Charge to 90% ;28.11.2017;FEY;;LION;49;14500;7200;128;24;94;99;8400;3000;4117;4120;1;13034;22.94;35.14;36,2;BCS1388054;7;14
001016;13.12.2019;15:42:54;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;24;86;90;8400;3000;4027;4028;1;12985;29.34;31.04;34,5;BCS1388054;7;14
001016;13.12.2019;15:42:59;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;24;86;90;8400;3000;4027;4028;1;13035;29.34;31.04;34,4;BCS1388054;7;14
001016;13.12.2019;21:04:43;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;224;24;96;100;8400;;4153;4154;1;13038;27.24;28.24;31,7;BCS1388054;7;14
