Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
000121;13.12.2019;13:53:33;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;10;83;88;8400;3000;4006;4007;1;13025;22.24;33.74;35,8;BCS1388054;7;3
000121;13.12.2019;13:55:00;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;10;83;88;8400;3000;4098;4056;1;12768;22.54;35.24;36,1;BCS1388054;7;3
000121;13.12.2019;13:55:04;Charge to 10% ;28.11.2017;FEY;;LION;49;14500;7200;128;10;83;88;8400;3000;4100;4057;1;13025;22.54;35.34;36,1;BCS1388054;7;3
000121;13.12.2019;13:55:27;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;10;83;88;8400;3000;4016;4019;1;13368;22.64;34.14;36,1;BCS1388054;7;3
000121;13.12.2019;13:55:29;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;10;81;87;8400;3000;3951;3993;1;13443;22.74;34.14;36,1;BCS1388054;7;3
000121;13.12.2019;13:55:29;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;10;81;87;8400;3000;3951;3993;1;13443;22.74;34.14;36,1;BCS1388054;7;3
000121;13.12.2019;13:55:33;Normalcharge  ;28.11.2017;FEY;;LION;49;14500;7200;192;10;81;87;8400;3000;3951;3993;1;13337;22.74;34.14;36,1;BCS1388054;7;3
000121;13.12.2019;13:55:39;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;10;81;87;8400;3000;4012;4013;1;13015;22.74;34.14;36,1;BCS1388054;7;3
000121;13.12.2019;13:55:39;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;10;81;87;8400;3000;4012;4013;1;13015;22.74;34.14;36,1;BCS1388054;7;3
000121;13.12.2019;13:56:34;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;10;81;88;8400;3000;4100;4058;1;12754;22.94;35.04;36,2;BCS1388054;7;3
000121;13.12.2019;13:56:38;Charge to 95% ;28.11.2017;FEY;;LION;49;14500;7200;128;10;81;88;8400;3000;4100;4058;1;13026;22.94;35.04;36,2;BCS1388054;7;3
000121;13.12.2019;13:56:40;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;10;81;88;8400;3000;4100;4058;1;13025;22.94;34.94;36,2;BCS1388054;7;3
000121;13.12.2019;13:56:48;Charge to 90% ;28.11.2017;FEY;;LION;49;14500;7200;128;10;81;88;8400;3000;4021;4023;1;13026;22.94;34.44;36,2;BCS1388054;7;3
000121;13.12.2019;15:42:54;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;10;83;90;8400;3000;4036;4036;1;12975;28.84;30.94;34,5;BCS1388054;7;3
000121;13.12.2019;15:42:59;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;10;83;90;8400;3000;4036;4036;1;13027;28.84;30.94;34,4;BCS1388054;7;3
000121;13.12.2019;21:04:43;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;224;10;93;100;8400;;4148;4148;1;13028;26.94;28.14;31,7;BCS1388054;7;3
