Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
009734;30.11.2020;09:42:55;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;16576;3;99;98;;;4148;4145;1;13026;27.94;29.64;31,7;BCS1388054;7;1
009734;12.01.2021;04:16:00;Charge to 90% ;04.12.2018;FEY;;LION;49;14500;7200;16576;3;97;97;;;4129;4126;1;13011;23.34;21.14;23,0;BCS1388054;1;3
009734;12.01.2021;04:16:03;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;16576;3;97;97;;;4129;4126;1;13012;23.34;23.44;23,0;BCS1388054;1;3
009734;12.01.2021;04:17:15;Charge to 90% ;04.12.2018;FEY;;LION;49;14500;7200;16576;3;97;97;;;4128;4126;1;13010;23.34;24.34;23,5;BCS1388054;1;3
009734;12.01.2021;04:55:18;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;192;4;91;90;8400;3000;4059;4056;1;13003;26.64;31.14;31,7;BCS1388054;1;3
009734;12.01.2021;05:21:33;Cycle         ;04.12.2018;FEY;;LION;49;14500;7200;192;4;91;90;8400;3000;4066;4062;1;13006;26.94;28.84;30,6;BCS1388054;1;3
009734;13.01.2021;08:18:34;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;5;98;100;8400;;4155;4155;1;13004;26.94;28.74;30,7;BCS1388054;1;3
009734;22.02.2021;17:31:46;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;5;63;65;8400;3000;3807;3805;1;12991;26.14;25.74;31,6;BCS1388054;1;11
009734;22.02.2021;23:06:28;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;5;98;100;8400;;4153;4153;1;12992;26.64;26.24;30,6;BCS1388054;1;11
009734;06.04.2021;08:38:50;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;224;5;97;99;8400;;4129;4129;1;12997;20.94;25.34;28,1;BCS1388054;3;8
009734;06.04.2021;08:39:42;Stop           ;04.12.2018;FEY;;LION;49;14500;7200;224;5;97;99;8400;;4129;4129;1;12997;21.04;25.64;28,2;BCS1388054;3;8
009734;08.04.2021;07:58:01;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;224;5;96;99;8400;;4128;4128;1;12998;25.54;25.74;26,4;BCS1388054;3;8
009734;08.04.2021;07:59:40;Stop           ;04.12.2018;FEY;;LION;49;14500;7200;224;5;96;99;8400;;4128;4128;1;12996;25.64;26.44;26,8;BCS1388054;3;8
009734;08.04.2021;10:35:05;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;224;5;96;99;8400;;4128;4128;1;12998;25.84;26.04;28,1;BCS1388054;3;8
009734;08.04.2021;10:36:56;Stop           ;04.12.2018;FEY;;LION;49;14500;7200;224;5;96;99;8400;;4128;4128;1;12996;25.84;26.94;29,0;BCS1388054;3;8
009734;18.04.2021;08:33:50;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;224;5;96;99;8400;;4125;4125;1;12997;26.44;27.14;27,8;BCS1388054;3;8
009734;18.04.2021;08:33:58;Stop           ;04.12.2018;FEY;;LION;49;14500;7200;224;5;96;99;8400;;4125;4125;1;12996;26.44;27.24;27,9;BCS1388054;3;8
