Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
009744;24.11.2020;08:56:08;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;3;17;17;8400;3000;3437;3437;1;13002;23.74;26.64;25,7;BCS1388054;1;15
009744;24.11.2020;08:59:34;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;128;3;18;18;8400;3000;3547;3499;1;12905;24.14;32.54;26,4;BCS1388054;1;15
009744;24.11.2020;08:59:41;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;128;3;18;18;8400;3000;3463;3465;1;12997;24.24;32.54;26,4;BCS1388054;1;15
009744;24.11.2020;16:23:04;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;3;100;100;8400;;4166;4162;1;12994;26.94;30.84;28,5;BCS1388054;1;15
009744;07.12.2020;04:14:21;Cycle         ;04.12.2018;FEY;;LION;49;14500;7200;224;3;98;99;8400;;4140;4137;1;12999;25.84;28.64;30,3;BCS1388054;2;2
009744;08.12.2020;16:19:44;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;4;97;100;8400;;4152;4151;1;13000;27.84;30.14;31,9;BCS1388054;2;2
009744;03.03.2021;08:17:46;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;5;64;66;8400;3000;3808;3810;1;13033;23.24;23.64;23,6;BCS1388054;7;1
009744;03.03.2021;10:54:05;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;128;5;95;97;8400;3000;4182;4148;1;12725;29.64;33.64;31,4;BCS1388054;7;1
009744;03.03.2021;10:55:49;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;5;95;98;8400;3000;4118;4117;1;13027;29.64;31.34;30,6;BCS1388054;7;1
009744;03.03.2021;17:03:24;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;5;98;100;8400;;4151;4150;1;13028;26.34;28.34;31,4;BCS1388054;7;1
009744;04.04.2021;11:49:55;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;5;59;60;8400;3000;3746;3751;1;13018;25.14;24.84;27,5;BCS1388054;7;15
009744;04.04.2021;11:51:17;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;128;5;59;60;8400;3000;3839;3797;1;12733;25.14;28.14;28,4;BCS1388054;7;15
009744;05.04.2021;09:37:37;Charge to 60% ;04.12.2018;FEY;;LION;49;14500;7200;192;5;59;60;8400;3000;3750;3756;1;13001;25.14;26.84;26,0;BCS1388054;1;3
009744;05.04.2021;10:01:53;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;192;5;59;60;8400;3000;3750;3755;1;12998;25.84;29.54;31,2;BCS1388054;1;3
009744;22.08.2021;11:08:18;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;5;55;57;8400;3000;3706;3708;1;13023;29.84;30.94;32,2;BCS1388054;7;10
009744;22.08.2021;11:08:51;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;128;5;55;57;8400;3000;3736;3721;1;12865;29.94;32.04;32,6;BCS1388054;7;10
009744;25.08.2021;08:15:19;Charge to 60% ;04.12.2018;FEY;;LION;49;14500;7200;192;5;55;57;8400;3000;3706;3707;1;12992;30.34;32.54;33,5;BCS1388054;2;5
009744;25.08.2021;10:43:16;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;192;5;58;60;8400;3000;3740;3742;1;12991;32.74;34.54;36,4;BCS1388054;2;5
009744;01.11.2021;09:51:48;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;5;55;57;8400;3000;3712;3714;1;13033;26.04;25.54;26,3;BCS1388054;7;16
009744;01.11.2021;09:53:51;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;128;5;56;57;8400;3000;3806;3760;1;12659;26.14;29.24;27,4;BCS1388054;7;16
009744;01.11.2021;10:02:29;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;5;56;57;8400;3000;3717;3719;1;13029;26.24;27.24;29,5;BCS1388054;7;16
