Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
009573;07.12.2020;04:14:28;Cycle         ;04.12.2018;FEY;;LION;49;14500;7200;192;4;98;98;8400;;4135;4134;1;13002;25.64;27.54;30,3;BCS1388054;4;15
009573;08.12.2020;16:19:56;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;192;4;98;98;8400;;4133;4132;1;13000;27.74;29.04;31,9;BCS1388054;4;15
009573;12.01.2021;04:17:33;Charge to 90% ;04.12.2018;FEY;;LION;49;14500;7200;192;4;97;97;8400;;4120;4119;1;13008;23.14;23.24;23,6;BCS1388054;4;17
009573;12.01.2021;04:57:16;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;192;4;91;90;8400;3000;4049;4050;1;13003;27.04;29.04;31,6;BCS1388054;4;17
009573;12.01.2021;05:21:49;Cycle         ;04.12.2018;FEY;;LION;49;14500;7200;192;4;91;90;8400;3000;4054;4055;1;13003;27.04;27.74;30,4;BCS1388054;4;17
009573;13.01.2021;08:19:19;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;5;97;99;8400;;4154;4155;1;13005;27.04;27.74;30,7;BCS1388054;4;17
009573;21.02.2021;13:43:49;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;6;59;60;8400;3000;3736;3737;1;13007;22.94;22.34;27,7;BCS1388054;3;11
009573;21.02.2021;20:44:52;Stop           ;04.12.2018;FEY;;LION;49;14500;7200;224;6;98;100;8400;;4151;4151;1;12999;26.64;26.24;31,2;BCS1388054;3;11
009573;06.04.2021;08:39:16;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;224;6;96;99;8400;;4127;4126;1;13001;21.34;24.84;28,1;BCS1388054;6;4
009573;06.04.2021;08:40:03;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;6;96;99;8400;;4126;4126;1;12980;21.44;25.04;28,5;BCS1388054;6;4
009573;08.04.2021;07:58:44;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;224;6;96;99;8400;;4126;4126;1;13012;25.24;22.44;26,4;BCS1388054;6;4
009573;08.04.2021;07:59:23;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;6;96;99;8400;;4126;4126;1;13011;25.24;24.94;26,7;BCS1388054;6;4
009573;08.04.2021;10:36:16;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;224;6;96;99;8400;;4126;4126;1;13010;25.44;25.54;28,6;BCS1388054;6;4
009573;08.04.2021;10:37:11;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;6;96;99;8400;;4126;4126;1;12988;25.44;25.94;29,2;BCS1388054;6;4
009573;18.04.2021;08:34:33;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;224;6;96;99;8400;;4123;4122;1;13002;26.14;26.44;28,2;BCS1388054;6;4
009573;18.04.2021;08:34:41;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;6;96;99;8400;;4123;4122;1;13001;26.14;26.54;28,2;BCS1388054;6;4
009573;04.08.2021;07:24:35;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;6;94;96;8400;;4091;4091;1;13004;30.14;29.84;31,5;BCS1388054;6;4
009573;04.08.2021;07:25:17;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;192;6;94;96;8400;;4091;4091;1;12988;30.14;30.34;31,6;BCS1388054;6;4
009573;22.08.2021;11:07:59;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;6;83;85;8400;3000;3976;3977;1;12994;22.94;28.44;32,1;BCS1388054;3;11
009573;22.08.2021;11:08:33;Stop           ;04.12.2018;FEY;;LION;49;14500;7200;128;6;83;85;8400;3000;4012;3995;1;12708;23.04;29.44;32,4;BCS1388054;3;11
009573;12.10.2021;12:15:20;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;6;81;84;8400;3000;3961;3962;1;12992;23.64;26.14;27,9;BCS1388054;1;1
009573;12.10.2021;12:15:34;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;192;6;81;84;8400;3000;3961;3962;1;12977;23.64;26.54;27,9;BCS1388054;1;1
009573;14.10.2021;12:40:03;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;6;79;81;8400;3000;3935;3936;1;13005;25.64;25.74;27,9;BCS1388054;3;4
009573;14.10.2021;12:41:32;Stop           ;04.12.2018;FEY;;LION;49;14500;7200;128;6;79;81;8400;3000;4031;3984;1;12617;25.74;29.24;28,4;BCS1388054;3;4
009573;01.11.2021;09:52:06;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;6;73;76;8400;3000;3889;3890;1;13016;24.34;24.34;26,3;BCS1388054;4;18
009573;01.11.2021;09:53:35;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;128;6;74;76;8400;3000;3987;3935;1;12605;24.44;28.04;27,1;BCS1388054;4;18
009573;01.11.2021;10:02:14;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;6;74;76;8400;3000;3892;3893;1;13009;24.94;26.04;29,5;BCS1388054;4;18
009573;01.11.2021;10:03:16;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;128;6;74;76;8400;3000;3984;3936;1;12572;25.04;28.64;29,3;BCS1388054;4;18
009573;07.02.2022;08:51:04;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;6;74;76;8400;3000;3870;3871;1;13006;22.44;22.54;25,1;BCS1388054;3;7
009573;07.02.2022;14:32:56;Stop           ;04.12.2018;FEY;;LION;49;14500;7200;224;6;98;100;8400;;4148;4147;1;13002;25.74;26.64;30,8;BCS1388054;3;7
009573;14.03.2022;12:14:36;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;224;6;96;99;8400;;4128;4127;1;13005;24.54;25.34;27,7;BCS1388054;3;10
009573;14.03.2022;12:18:51;Stop           ;04.12.2018;FEY;;LION;49;14500;7200;224;6;96;99;8400;;4128;4127;1;12964;24.54;26.04;29,5;BCS1388054;3;10
009573;29.03.2022;08:21:01;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;7;37;38;8400;3000;3587;3588;1;13014;24.84;24.34;25,8;BCS1388054;3;17
009573;29.03.2022;08:21:40;Stop           ;04.12.2018;FEY;;LION;49;14500;7200;128;7;37;38;8400;3000;3647;3612;1;12669;24.84;25.94;26,0;BCS1388054;3;17
009573;29.03.2022;08:22:08;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;128;7;37;38;8400;3000;3589;3592;1;13012;24.84;25.64;26,3;BCS1388054;3;17
009573;29.03.2022;08:22:36;Stop           ;04.12.2018;FEY;;LION;49;14500;7200;128;7;37;38;8400;3000;3623;3613;1;12681;24.84;26.34;26,4;BCS1388054;3;17
