Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
009513;07.12.2020;04:14:17;Cycle         ;04.12.2018;FEY;;LION;49;14500;7200;16576;2;99;99;;;4153;4153;1;12990;25.64;26.44;30,3;BCS1388054;1;11
009513;08.12.2020;16:19:38;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;16576;2;99;99;;;4150;4150;1;12990;27.34;27.64;31,9;BCS1388054;1;11
009513;12.01.2021;04:17:36;Charge to 90% ;04.12.2018;FEY;;LION;49;14500;7200;16576;2;97;98;;;4134;4134;1;12997;23.04;23.24;23,6;BCS1388054;5;13
009513;12.01.2021;05:15:37;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;192;2;90;90;8400;3000;4062;4062;1;12993;27.24;28.74;31,6;BCS1388054;5;13
009513;12.01.2021;05:21:53;Cycle         ;04.12.2018;FEY;;LION;49;14500;7200;192;2;90;90;8400;3000;4063;4063;1;12992;27.24;28.44;30,6;BCS1388054;5;13
009513;13.01.2021;08:31:10;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;4;97;100;8400;;4156;4157;1;12992;27.14;28.34;31,1;BCS1388054;5;13
009513;22.02.2021;17:31:46;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;4;71;73;8400;3000;3881;3881;1;13002;26.44;25.94;31,6;BCS1388054;1;13
009513;22.02.2021;23:06:28;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;4;98;100;8400;;4154;4154;1;13004;26.64;27.14;30,6;BCS1388054;1;13
009513;06.04.2021;08:39:10;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;224;4;96;99;8400;;4129;4129;1;13003;21.54;24.74;28,1;BCS1388054;5;6
009513;06.04.2021;08:39:58;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;4;96;99;8400;;4129;4129;1;13003;21.54;24.84;28,4;BCS1388054;5;6
009513;08.04.2021;07:58:30;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;224;4;96;99;8400;;4128;4129;1;13004;25.14;24.74;26,4;BCS1388054;5;6
009513;08.04.2021;07:59:28;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;4;96;99;8400;;4129;4129;1;13002;25.14;25.14;26,7;BCS1388054;5;6
009513;08.04.2021;10:36:12;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;224;4;96;99;8400;;4129;4128;1;13003;25.34;25.64;28,6;BCS1388054;5;6
009513;08.04.2021;10:37:06;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;4;96;99;8400;;4129;4129;1;13002;25.34;25.74;29,0;BCS1388054;5;6
009513;18.04.2021;08:34:16;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;4;96;98;8400;;4125;4125;1;13001;26.04;26.14;28,1;BCS1388054;5;6
009513;18.04.2021;08:34:27;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;192;4;96;98;8400;;4125;4125;1;13001;26.04;26.14;28,2;BCS1388054;5;6
009513;04.08.2021;07:24:41;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;4;94;96;8400;;4092;4093;1;13002;30.14;30.14;31,5;BCS1388054;5;6
009513;04.08.2021;07:25:23;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;192;4;94;96;8400;;4092;4093;1;13000;30.14;30.44;31,6;BCS1388054;5;6
009513;22.08.2021;11:08:08;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;4;94;96;8400;;4088;4088;1;13001;29.84;29.44;32,1;BCS1388054;5;6
009513;22.08.2021;11:08:41;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;192;4;94;96;8400;;4088;4088;1;12865;29.94;29.64;32,5;BCS1388054;5;6
009513;12.10.2021;12:40:28;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;5;52;53;8400;3000;3673;3675;1;13017;24.24;27.64;28,8;BCS1388054;7;17
009513;12.10.2021;12:40:39;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;192;5;52;53;8400;3000;3673;3675;1;13012;24.24;27.84;28,9;BCS1388054;7;17
009513;12.10.2021;12:43:08;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;5;52;53;8400;3000;3673;3674;1;13019;24.44;27.64;29,2;BCS1388054;7;17
009513;12.10.2021;12:43:28;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;192;5;52;53;8400;3000;3673;3674;1;13013;24.44;28.34;29,2;BCS1388054;7;17
009513;14.10.2021;12:40:18;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;5;52;53;8400;3000;3673;3674;1;13011;23.44;26.64;28,1;BCS1388054;6;15
009513;14.10.2021;12:41:59;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;128;5;52;53;8400;3000;3764;3717;1;12639;23.54;30.74;28,5;BCS1388054;6;15
009513;01.11.2021;09:51:56;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;5;52;53;8400;3000;3672;3673;1;13013;25.74;26.64;26,3;BCS1388054;6;15
009513;01.11.2021;09:53:46;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;128;5;52;54;8400;3000;3762;3715;1;12629;25.84;30.94;27,3;BCS1388054;6;15
