Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
009708;07.12.2020;04:14:25;Cycle          ;04.12.2018;FEY;;LION;49;14500;7200;192;3;97;98;8400;;4144;4143;1;13012;25.64;27.54;30,3;BCS1388054;3;15
009708;08.12.2020;16:19:50;Stop           ;04.12.2018;FEY;;LION;49;14500;7200;192;3;97;98;8400;;4142;4141;1;13011;27.84;29.34;31,9;BCS1388054;3;15
009708;12.01.2021;04:17:47;Charge to 90% ;04.12.2018;FEY;;LION;49;14500;7200;192;3;96;97;8400;;4126;4126;1;13039;23.04;22.94;23,8;BCS1388054;7;14
009708;12.01.2021;04:57:20;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;192;3;90;90;8400;3000;4060;4059;1;13035;26.44;29.24;31,5;BCS1388054;7;14
009708;12.01.2021;05:22:01;Cycle         ;04.12.2018;FEY;;LION;49;14500;7200;192;3;90;90;8400;3000;4065;4064;1;13035;26.64;27.44;30,4;BCS1388054;7;14
009708;13.01.2021;08:19:29;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;4;97;100;8400;;4155;4155;1;13034;26.74;27.34;30,7;BCS1388054;7;14
009708;21.02.2021;13:44:56;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;5;52;54;8400;3000;3682;3681;1;13014;22.84;23.14;27,7;BCS1388054;5;11
009708;21.02.2021;19:31:36;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;5;97;100;8400;;4154;4153;1;13008;27.04;27.24;30,6;BCS1388054;5;11
009708;06.04.2021;08:39:21;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;5;95;98;8400;;4114;4113;1;13032;21.54;24.34;28,1;BCS1388054;7;16
009708;06.04.2021;08:40:08;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;192;5;95;98;8400;;4114;4113;1;12942;21.54;24.64;28,5;BCS1388054;7;16
009708;08.04.2021;07:59:03;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;5;95;98;8400;;4114;4113;1;13034;25.14;24.64;26,4;BCS1388054;7;16
009708;08.04.2021;07:59:16;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;192;5;95;98;8400;;4114;4113;1;13031;25.14;24.84;26,6;BCS1388054;7;16
009708;08.04.2021;10:36:43;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;5;95;98;8400;;4114;4113;1;13031;25.34;25.74;28,9;BCS1388054;7;16
009708;08.04.2021;10:37:15;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;192;5;95;98;8400;;4114;4113;1;12958;25.34;25.84;29,2;BCS1388054;7;16
009708;18.04.2021;08:34:46;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;5;95;98;8400;;4111;4109;1;13031;26.04;26.44;28,2;BCS1388054;7;16
009708;18.04.2021;08:34:54;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;192;5;95;98;8400;;4111;4109;1;13028;26.04;26.44;28,4;BCS1388054;7;16
009708;04.08.2021;07:24:29;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;5;94;97;8400;;4081;4081;1;13026;30.04;29.84;31,5;BCS1388054;7;16
009708;04.08.2021;07:25:08;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;192;5;94;97;8400;;4081;4081;1;12975;30.04;30.24;31,6;BCS1388054;7;16
009708;14.10.2021;12:39:58;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;5;68;70;8400;3000;3851;3850;1;12999;24.94;26.04;27,9;BCS1388054;2;11
009708;14.10.2021;12:41:25;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;128;5;68;71;8400;3000;3944;3895;1;12558;25.04;28.94;28,2;BCS1388054;2;11
009708;07.02.2022;08:51:46;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;5;68;71;8400;3000;3825;3823;1;12990;22.24;23.64;25,6;BCS1388054;2;7
009708;07.02.2022;13:15:56;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;5;97;100;8400;;4152;4153;1;12987;26.14;27.94;31,1;BCS1388054;2;7
009708;14.03.2022;12:14:44;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;224;5;96;99;8400;;4128;4129;1;13004;24.44;26.44;27,7;BCS1388054;1;3
009708;14.03.2022;12:15:19;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;5;96;99;8400;;4128;4129;1;13003;24.44;26.64;27,9;BCS1388054;1;3
009708;14.03.2022;12:15:29;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;224;5;96;99;8400;;4128;4129;1;13003;24.54;26.74;28,1;BCS1388054;1;3
009708;14.03.2022;12:16:01;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;5;96;99;8400;;4128;4129;1;13004;24.54;26.94;28,4;BCS1388054;1;3
009708;14.03.2022;12:17:43;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;224;5;96;99;8400;;4129;4129;1;13003;24.54;27.24;29,2;BCS1388054;1;3
009708;14.03.2022;12:18:20;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;5;96;99;8400;;4129;4129;1;13002;24.54;27.34;29,3;BCS1388054;1;3
009708;14.03.2022;12:19:16;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;224;5;96;99;8400;;4129;4129;1;13002;24.54;27.44;29,5;BCS1388054;1;3
009708;14.03.2022;12:19:20;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;5;96;99;8400;;4129;4129;1;13002;24.54;27.44;29,6;BCS1388054;1;3
009708;29.03.2022;08:20:53;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;5;85;87;8400;3000;4006;4006;1;13003;24.74;24.74;25,7;BCS1388054;5;14
009708;29.03.2022;08:21:28;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;128;5;85;87;8400;3000;4019;4014;1;12860;24.74;26.04;25,8;BCS1388054;5;14
009708;29.03.2022;08:22:15;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;128;5;85;87;8400;3000;4006;4007;1;13002;24.84;25.74;26,3;BCS1388054;5;14
009708;29.03.2022;08:22:21;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;128;5;85;87;8400;3000;4007;4009;1;12991;24.84;25.84;26,3;BCS1388054;5;14
009708;17.05.2022;08:54:06;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;5;84;87;8400;3000;3989;3989;1;12990;28.24;30.54;30,8;BCS1388054;1;14
009708;17.05.2022;11:50:11;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;5;97;100;8400;;4153;4152;1;12988;30.94;32.94;34,5;BCS1388054;1;14
