Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
009807;07.12.2020;04:14:36;Cycle         ;03.12.2018;FEY;;LION;49;14500;7200;16576;3;98;98;;;4147;4147;1;12993;25.44;27.64;30,3;BCS1388054;6;7
009807;08.12.2020;16:20:13;Stop          ;03.12.2018;FEY;;LION;49;14500;7200;16576;3;98;98;;;4145;4145;1;12992;27.64;29.24;31,9;BCS1388054;6;7
009807;07.02.2021;08:46:49;Normalcharge  ;03.12.2018;FEY;;LION;49;14500;7200;16576;3;96;96;;;4122;4122;1;13009;23.24;25.74;29,2;BCS1388054;2;9
009807;07.02.2021;11:52:12;Stop          ;03.12.2018;FEY;;LION;49;14500;7200;16576;3;96;96;;;4122;4122;1;13010;25.54;27.14;29,7;BCS1388054;2;9
009807;03.03.2021;08:17:46;Normalcharge  ;03.12.2018;FEY;;LION;49;14500;7200;2768;4;;;8400;3000;3043;3047;1;13039;22.84;22.84;23,6;BCS1388054;7;14
009807;03.03.2021;10:54:05;Stop          ;03.12.2018;FEY;;LION;49;14500;7200;128;4;32;32;8400;3000;3675;3625;1;12709;30.64;38.04;31,4;BCS1388054;7;14
009807;16.03.2021;11:40:53;Normalcharge  ;03.12.2018;FEY;;LION;49;14500;7200;192;4;35;35;8400;3000;3575;3575;1;12997;23.64;24.24;25,1;BCS1388054;1;5
009807;16.03.2021;11:41:01;Stop          ;03.12.2018;FEY;;LION;49;14500;7200;192;4;35;35;8400;3000;3575;3575;1;12997;23.64;24.34;25,1;BCS1388054;1;5
009807;30.03.2021;10:24:15;Normalcharge  ;03.12.2018;FEY;;LION;49;14500;7200;192;4;35;35;8400;3000;3572;3573;1;13013;22.64;22.64;23,9;BCS1388054;6;4
009807;30.03.2021;10:25:32;Stop          ;03.12.2018;FEY;;LION;49;14500;7200;128;4;35;35;8400;3000;3661;3614;1;12992;22.64;25.84;24,8;BCS1388054;6;4
009807;08.04.2021;07:57:52;Normalcharge  ;03.12.2018;FEY;;LION;49;14500;7200;192;4;30;30;8400;3000;3546;3546;1;12998;24.94;25.04;26,3;BCS1388054;1;11
009807;08.04.2021;07:59:50;Stop          ;03.12.2018;FEY;;LION;49;14500;7200;128;4;30;30;8400;3000;3638;3591;1;12930;25.04;28.44;26,8;BCS1388054;1;11
009807;08.04.2021;08:09:05;Charge to 60% ;03.12.2018;FEY;;LION;49;14500;7200;192;4;30;30;8400;3000;3550;3550;1;12994;25.04;25.64;27,4;BCS1388054;1;11
009807;08.04.2021;10:32:41;Stop          ;03.12.2018;FEY;;LION;49;14500;7200;192;4;59;60;8400;3000;3761;3762;1;12966;27.54;26.64;28,8;BCS1388054;1;11
009807;08.04.2021;10:34:35;Normalcharge  ;03.12.2018;FEY;;LION;49;14500;7200;192;4;59;60;8400;3000;3758;3759;1;12990;27.44;26.44;28,1;BCS1388054;1;11
009807;08.04.2021;10:36:49;Stop          ;03.12.2018;FEY;;LION;49;14500;7200;128;4;60;60;8400;3000;3853;3805;1;12871;27.34;29.54;28,9;BCS1388054;1;11
009807;18.04.2021;08:33:24;Normalcharge  ;03.12.2018;FEY;;LION;49;14500;7200;192;4;57;58;8400;3000;3739;3739;1;12995;25.94;26.34;27,7;BCS1388054;1;11
009807;18.04.2021;08:33:29;Stop          ;03.12.2018;FEY;;LION;49;14500;7200;192;4;57;58;8400;3000;3739;3739;1;12991;25.94;26.34;27,7;BCS1388054;1;11
009807;04.08.2021;07:25:01;Normalcharge  ;03.12.2018;FEY;;LION;49;14500;7200;192;4;54;54;8400;3000;3703;3703;1;12986;30.24;30.44;31,5;BCS1388054;1;11
009807;04.08.2021;07:25:57;Stop          ;03.12.2018;FEY;;LION;49;14500;7200;128;4;54;54;8400;3000;3787;3739;1;12762;30.34;32.34;31,9;BCS1388054;1;11
