Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
007632;13.12.2019;13:53:33;Fastcharge    ;19.10.2017;FEY;;LION;49;14500;7200;192;5;89;94;8400;3000;4058;4058;1;13028;22.94;33.94;35,8;BCS1388054;7;2
007632;13.12.2019;13:55:00;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;128;5;89;94;8400;3000;4125;4095;1;12779;23.34;35.54;36,1;BCS1388054;7;2
007632;13.12.2019;13:55:04;Charge to 10% ;19.10.2017;FEY;;LION;49;14500;7200;128;5;89;94;8400;3000;4124;4095;1;13028;23.34;35.54;36,1;BCS1388054;7;2
007632;13.12.2019;13:55:27;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;128;5;89;94;8400;3000;4066;4065;1;13365;23.44;34.54;36,1;BCS1388054;7;2
007632;13.12.2019;13:55:29;Fastcharge    ;19.10.2017;FEY;;LION;49;14500;7200;192;5;89;94;8400;3000;4038;4052;1;13437;23.44;34.44;36,1;BCS1388054;7;2
007632;13.12.2019;13:55:29;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;192;5;89;94;8400;3000;4038;4052;1;13437;23.44;34.44;36,1;BCS1388054;7;2
007632;13.12.2019;13:55:33;Normalcharge  ;19.10.2017;FEY;;LION;49;14500;7200;192;5;89;94;8400;3000;4038;4052;1;13346;23.44;34.44;36,1;BCS1388054;7;2
007632;13.12.2019;13:55:39;Fastcharge    ;19.10.2017;FEY;;LION;49;14500;7200;192;5;89;94;8400;3000;4062;4061;1;13019;23.44;34.54;36,1;BCS1388054;7;2
007632;13.12.2019;13:55:39;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;192;5;89;94;8400;3000;4062;4061;1;13019;23.44;34.54;36,1;BCS1388054;7;2
007632;13.12.2019;13:56:34;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;128;5;89;94;8400;3000;4124;4095;1;12763;23.64;35.34;36,2;BCS1388054;7;2
007632;13.12.2019;13:56:38;Charge to 95% ;19.10.2017;FEY;;LION;49;14500;7200;128;5;89;94;8400;3000;4124;4095;1;13029;23.64;35.34;36,2;BCS1388054;7;2
007632;13.12.2019;13:56:40;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;128;5;89;94;8400;3000;4124;4095;1;13028;23.74;35.34;36,2;BCS1388054;7;2
007632;13.12.2019;13:56:48;Charge to 90% ;19.10.2017;FEY;;LION;49;14500;7200;128;5;89;94;8400;3000;4067;4068;1;13029;23.74;34.84;36,2;BCS1388054;7;2
007632;13.12.2019;15:42:54;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;192;5;86;90;8400;3000;4025;4025;1;12978;29.34;31.34;34,5;BCS1388054;7;2
007632;13.12.2019;15:42:59;Fastcharge    ;19.10.2017;FEY;;LION;49;14500;7200;192;5;86;90;8400;3000;4025;4025;1;13030;29.34;31.34;34,4;BCS1388054;7;2
007632;13.12.2019;21:04:43;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;224;5;95;100;8400;;4153;4153;1;13031;27.34;28.64;31,7;BCS1388054;7;2
