Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
000117;13.12.2019;13:53:33;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;14;92;99;8400;3000;4114;4114;1;13020;22.24;32.24;35,8;BCS1388054;7;12
000117;13.12.2019;13:55:00;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;14;92;99;8400;3000;4156;4145;1;12744;22.74;32.24;36,1;BCS1388054;7;12
000117;13.12.2019;13:55:04;Charge to 10% ;28.11.2017;FEY;;LION;49;14500;7200;128;14;92;99;8400;3000;4175;4156;1;13019;22.74;32.24;36,1;BCS1388054;7;12
000117;13.12.2019;13:55:27;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;14;92;99;8400;3000;4122;4124;1;13410;22.94;31.54;36,1;BCS1388054;7;12
000117;13.12.2019;13:55:29;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;14;92;99;8400;3000;4048;4080;1;13367;22.94;31.64;36,1;BCS1388054;7;12
000117;13.12.2019;13:55:29;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;14;92;99;8400;3000;4048;4080;1;13367;22.94;31.64;36,1;BCS1388054;7;12
000117;13.12.2019;13:55:33;Normalcharge  ;28.11.2017;FEY;;LION;49;14500;7200;192;14;92;99;8400;3000;4048;4080;1;13033;22.94;31.74;36,1;BCS1388054;7;12
000117;13.12.2019;13:55:39;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;14;92;99;8400;3000;4117;4117;1;13002;22.94;31.64;36,1;BCS1388054;7;12
000117;13.12.2019;13:55:39;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;14;92;99;8400;3000;4117;4117;1;13002;22.94;31.64;36,1;BCS1388054;7;12
000117;13.12.2019;13:56:34;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;14;92;99;8400;3000;4153;4143;1;12719;23.24;31.94;36,2;BCS1388054;7;12
000117;13.12.2019;13:56:38;Charge to 95% ;28.11.2017;FEY;;LION;49;14500;7200;128;14;92;99;8400;3000;4173;4155;1;13021;23.34;31.94;36,2;BCS1388054;7;12
000117;13.12.2019;13:56:40;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;14;92;99;8400;3000;4173;4155;1;13021;23.34;31.94;36,2;BCS1388054;7;12
000117;13.12.2019;13:56:48;Charge to 90% ;28.11.2017;FEY;;LION;49;14500;7200;128;14;92;99;8400;3000;4124;4125;1;13020;23.44;31.64;36,2;BCS1388054;7;12
000117;13.12.2019;15:42:54;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;14;84;90;8400;3000;4032;4032;1;12955;29.04;30.14;34,5;BCS1388054;7;12
000117;13.12.2019;15:42:59;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;14;84;90;8400;3000;4032;4032;1;13021;29.04;30.04;34,4;BCS1388054;7;12
000117;13.12.2019;21:04:43;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;224;14;94;100;8400;;4147;4147;1;13022;26.74;27.24;31,7;BCS1388054;7;12
