Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
001023;13.12.2019;13:53:33;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;21;94;99;8400;3000;4115;4115;1;13023;22.04;34.54;35,8;BCS1388054;7;15
001023;13.12.2019;13:55:00;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;21;94;99;8400;3000;4164;4145;1;12757;22.34;35.24;36,1;BCS1388054;7;15
001023;13.12.2019;13:55:04;Charge to 10% ;28.11.2017;FEY;;LION;49;14500;7200;128;21;94;99;8400;3000;4162;4146;1;13023;22.44;35.24;36,1;BCS1388054;7;15
001023;13.12.2019;13:55:27;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;21;93;99;8400;3000;4073;4095;1;13424;22.44;34.24;36,1;BCS1388054;7;15
001023;13.12.2019;13:55:29;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;21;93;99;8400;3000;4073;4095;1;13424;22.44;34.24;36,1;BCS1388054;7;15
001023;13.12.2019;13:55:29;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;21;93;99;8400;3000;4073;4095;1;13424;22.44;34.24;36,1;BCS1388054;7;15
001023;13.12.2019;13:55:33;Normalcharge  ;28.11.2017;FEY;;LION;49;14500;7200;192;21;93;99;8400;3000;4073;4095;1;13037;22.44;34.34;36,1;BCS1388054;7;15
001023;13.12.2019;13:55:39;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;21;93;99;8400;3000;4116;4116;1;13000;22.54;34.34;36,1;BCS1388054;7;15
001023;13.12.2019;13:55:39;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;21;93;99;8400;3000;4116;4116;1;13000;22.54;34.34;36,1;BCS1388054;7;15
001023;13.12.2019;13:56:34;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;21;93;99;8400;3000;4153;4142;1;12734;22.74;34.54;36,2;BCS1388054;7;15
001023;13.12.2019;13:56:38;Charge to 95% ;28.11.2017;FEY;;LION;49;14500;7200;128;21;93;99;8400;3000;4166;4148;1;13024;22.74;34.54;36,2;BCS1388054;7;15
001023;13.12.2019;13:56:40;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;21;93;99;8400;3000;4166;4148;1;13024;22.74;34.54;36,2;BCS1388054;7;15
001023;13.12.2019;13:56:48;Charge to 90% ;28.11.2017;FEY;;LION;49;14500;7200;128;21;93;99;8400;3000;4124;4125;1;13023;22.74;34.24;36,2;BCS1388054;7;15
001023;13.12.2019;15:42:54;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;21;85;90;8400;3000;4033;4033;1;12970;29.34;30.94;34,5;BCS1388054;7;15
001023;13.12.2019;15:42:59;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;21;85;90;8400;3000;4033;4033;1;13023;29.34;30.94;34,4;BCS1388054;7;15
001023;13.12.2019;21:04:43;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;224;21;95;100;8400;;4153;4152;1;13025;27.24;27.84;31,7;BCS1388054;7;15
